Company Name,Ticker,Location,Location Type,Sales,SIC,URL,Phone Number,Description
SUMITOMO CHEMICAL ADVANCED TECHNOLOGIES LLC,,ARIZONA(USA),Headquarters,"$14,227,193",36740000,WWW.SUMICHEM-AT.COM,(602) 659-2500,"Sumitomo Chemical Advanced Technologies LLC operates in the semiconductor industry, focusing on the development and manufacturing of advanced materials and technologies. Specific details about its foundation date and Arizona operations are not readily available."
"PROTOTRON CIRCUITS SOUTHWEST, INC.",,ARIZONA(USA),Single Location,"$14,185,351",36729901,WWW.PROTOTRON.COM,(520) 745-8515,"Prototron Circuits Southwest, Inc. is a company that specializes in quick-turn printed circuit board (PCB) manufacturing. While specific details about its foundation date and Arizona location are limited, the company provides PCB solutions for various industries."
"PROTOTRON, INC.",,ARIZONA(USA),Headquarters,"$14,185,351",36720000,WWW.PROTOTRON.COM,(425) 823-7000,"Prototron, Inc. offers PCB manufacturing services, including quick-turn prototypes and production runs. Detailed information about its foundation date and operations in Arizona is not readily available."
"TRIAD ELECTRONIC TECHNOLOGIES, LLC",,ARIZONA(USA),Single Location,"$13,916,935",36720000,WWW.TRIADELECTRONIC.COM,(602) 269-8849,"Triad Electronic Technologies, LLC is a company involved in electronic manufacturing services. Specific information regarding its foundation date and Arizona location is not readily available."
MICROSEMI CORPORATION,,ARIZONA(USA),Headquarters,"$12,819,421",36740000,WWW.MICROSEMI.COM,,"Microsemi Corporation is a provider of semiconductor and system solutions for aerospace, defense, communications, and industrial markets. While the company has operations in various locations, detailed information about its specific activities in Arizona is not provided."
"DS ELECTRONICS, INC.",,ARIZONA(USA),Single Location,"$11,834,916",36720000,WWW.DSELECTRONICSINC.COM,(480) 967-5080,"DS Electronics, Inc. is a company that offers electronic manufacturing services. Specific details about its foundation date and operations in Arizona are not readily available."
"ECOFASTEN SOLAR, LLC",,ARIZONA(USA),Single Location,"$11,665,990",36740000,WWW.ECOFASTENSOLAR.COM,(602) 272-1477,"EcoFasten Solar, LLC specializes in solar panel mounting systems and solutions."
FIMER INC.,,ARIZONA(USA),Headquarters,"$11,632,747",36790303,,(877) 261-1374,FIMER Inc. is a company that provides solar inverters and energy storage solutions.
DECA TECHNOLOGIES INC.,,ARIZONA(USA),Single Location,"$11,278,400",36740000,WWW.THINKDECA.COM,(480) 345-9895,"Deca Technologies Inc. is involved in the semiconductor industry, focusing on advanced packaging technologies."
DATAFORTH CORPORATION,,ARIZONA(USA),Single Location,"$11,246,177",36740000,WWW.DATAFORTH.COM,(520) 741-1404,Dataforth Corporation is a company that designs and manufactures data acquisition and control products.
ATMEL CORPORATION,,ARIZONA(USA),Headquarters,"$10,800,926",36740206,,,"Founded in 1984 and, although headquartered in San Jose, California, it had manufacturing facilities in Colorado Springs, Colorado. In 2016, Atmel was acquired by Microchip Technology, which is based in Chandler, Arizona. Microchip Technology continues to operate in Chandler, focusing on microcontroller and analog semiconductor products."
FAIRCHILD SEMICONDUCTOR CORPORATION,,ARIZONA(USA),Single Location,"$10,782,913",36740000,WWW.ONSEMI.COM,(602) 244-6600,"Established in 1957, was a pioneer in the semiconductor industry. While its headquarters were in California, Fairchild had various operational sites across the U.S., including in Maine and Utah. In 2016, it was acquired by ON Semiconductor (now onsemi), which is headquartered in Phoenix, Arizona, where it continues semiconductor manufacturing operations."
"A & A ELECTRONICS ASSEMBLY, INC.",,ARIZONA(USA),Single Location,"$10,759,293",36720000,WWW.AAELECT.COM,(928) 453-7717,"Founded in 1982 by Walt and Carole Kee and is located at 915 Kiowa Ave, Lake Havasu City, Arizona. The company specializes in providing electronic assembly services, including pickup and delivery services to the Southern California area."
"KLK, INC.",,ARIZONA(USA),Headquarters,"$10,655,753",36740000,WWW.KLKINC.COM,(602) 267-1331,"Established in 1995 through the acquisition of K&K Industries and is located at 6685 W Frye Rd, Chandler, Arizona. KLK offers precision manufacturing services such as CNC machining, sheet metal fabrication, welding, and assembly, serving industries including semiconductor, aerospace, defense, and medical."
WACOM QUARTZ CORP.,,ARIZONA(USA),Single Location,"$10,478,703",36790403,WWW.WACOMQUARTZ.COM,(602) 470-1465,"Formed in September 2000, is based at 5050 S 38th Place, Phoenix, Arizona. The company provides quartz-glass fabrication, repair, and sales services to industries such as semiconductor, solar energy, and biomedical sectors."
"KES USA, INC",,ARIZONA(USA),Headquarters,"$10,320,135",36729901,,(602) 431-1760,"Located at 1407 W Drivers Way, Tempe, Arizona. While specific foundation details are limited, the company operates in the electronics manufacturing sector, providing services related to semiconductor equipment and systems."
TEXAS CAPITOL SEMICONDUCTOR INCORPORATED,,ARIZONA(USA),Headquarters,"$9,783,285",36740207,WWW.TCSEMICONDUCTOR.COM,(480) 834-3000,"Founded in 1995 and is headquartered at 110 S Southgate Dr, Chandler, Arizona. The company specializes in semiconductor manufacturing, offering a range of products and services in the electronics industry."
PROTEK DEVICES LIMITED PARTNERSHIP,,ARIZONA(USA),Headquarters,"$9,181,715",36740000,WWW.PROTEKDEVICES.COM,,"Established in 1992 following the acquisition of General Semiconductor's Tempe, Arizona operations. The company, located in Tempe, focuses on developing high-performance transient voltage suppression products for commercial and military applications."
"AVANTI CIRCUITS, INC.",,ARIZONA(USA),Single Location,"$8,640,901",36729901,WWW.AVANTICIRCUITS.COM,(602) 866-7227,"Based at 17650 N 25th Ave, Phoenix, Arizona. The company specializes in manufacturing high-quality printed circuit boards (PCBs) for various applications, including quick-turn and prototype PCBs."
"MATERIALS SUPPORT RESOURCES (DELAWARE), INC.",,ARIZONA(USA),Headquarters,"$8,373,197",36740000,WWW.MSR-FSR.COM,(503) 492-0100,"Operates a service center at 280 N Roosevelt Ave, Chandler, Arizona. The company provides materials support and resources for the semiconductor industry, offering services such as equipment maintenance and parts supply."
"E3 DISPLAYS, LLC",,ARIZONA(USA),Single Location,"$8,361,722",36799908,WWW.E3DISPLAYS.COM,(602) 288-9758,"Established in 2007 and is located at 21410 N 19th Ave, Phoenix, Arizona. The company specializes in designing and manufacturing custom integrated display solutions, including LCD panels and touchscreens for various industries."
"K-TRONICS, INC.",,ARIZONA(USA),Headquarters,"$8,062,730",36769901,,(520) 432-5388,"Founded in 2008 and is situated at 310 Center Avenue Trailer 5, Bisbee, Arizona. The company focuses on manufacturing resistor networks and electronic components for the electronics industry."
SOUTHWEST EQUIPMENT SERVICES LLC,,ARIZONA(USA),Single Location,"$8,000,000",36740000,https://southwestequipmentservices.com,(480) 206-5603,"Located at 2885 N Nevada St, Chandler, Arizona. The company provides a range of equipment services, including maintenance, repair, and rental services for various industries."
"MC DAVIS COMPANY, LLC",,ARIZONA(USA),Single Location,"$7,530,697",36779902,WWW.MCDAVISCO.COM,(520) 466-5151,"Founded on September 1, 1968, is based at 10671 W Battaglia Dr, Arizona City, Arizona. The company specializes in manufacturing electrical and electronic components, serving various sectors with a focus on quality and innovation."
INTEGRATED TECHNOLOGY CORPORATION,,ARIZONA(USA),Headquarters,"$7,425,460",36749910,WWW.INTTECHCORP.COM,(480) 968-3459,"Established in 1975 and is headquartered at 1228 North Stadem Drive, Tempe, Arizona. The company provides technology solutions to the semiconductor industry, including equipment and services tailored to customer needs."
"OEM SPARES, INC.",,ARIZONA(USA),Single Location,"$7,226,294",36740000,WWW.SHELLBACKSEMI.COM,(480) 558-9200,"Founded in 2001 and located at 2120 W Guadalupe Rd Ste 101, Gilbert, AZ 85233, OEM Spares, Inc. specializes in the manufacturing of semiconductors and related devices, including transistors, discrete semiconductor devices, and diodes."
"INNOVATIVE CIRCUITS ARIZONA, INC.",,ARIZONA(USA),Single Location,"$6,766,761",36729901,WWW.IMAGINEMFG.COM,(480) 497-6681,"Established in 1988 and based in Gilbert, AZ, Innovative Circuits Arizona, Inc. offers electronic manufacturing solutions, focusing on adaptability to meet the challenges of competitive markets and customer demands. "
"LANSDALE SEMICONDUCTOR, INC.",,ARIZONA(USA),Single Location,"$6,623,244",36740000,WWW.LANSDALE.COM,(602) 438-0123,"Operating since 1964 and located at 5245 S 39th St, Phoenix, AZ 85040, Lansdale Semiconductor, Inc. is an aftermarket manufacturer and supplier of obsolete semiconductors and electronic components for applications including wireless RF/IF, military, and aerospace. "
"TECHNOLOGIC SYSTEMS, INC.",,ARIZONA(USA),Single Location,"$6,317,306",36790100,WWW.EMBEDDEDARM.COM,(480) 837-5200,"Founded in 1984 and situated at 16525 E Laser Dr, Fountain Hills, AZ 85268, Technologic Systems, Inc. (doing business as embeddedTS) provides industrial embedded computing solutions, including single board computers and system-on-modules."
"AZ PROTOTYPE, INC.",,ARIZONA(USA),Single Location,"$5,977,603",36720000,WWW.AZPINC.COM,(480) 967-2328,"Located at 236 S Mulberry, Mesa, AZ 85202, AZ Prototype, Inc. is a woman-owned electronics contract manufacturing company that assists customers with both prototype and production projects, emphasizing quality and customer satisfaction."
"LAWRENCE SEMICONDUCTOR RESEARCH LABORATORY, INC.",,ARIZONA(USA),Single Location,"$5,602,870",36740000,WWW.LSRL.COM,(602) 438-2300,"Since 1992, Lawrence Semiconductor Research Laboratory, Inc., based in Tempe, AZ, has been a leader in silicon and germanium epitaxial deposition services, supporting customer programs from early-stage R&D to high-volume manufacturing across various applications."
"PAN-JIT INTERNATIONAL, INC",,ARIZONA(USA),Single Location,"$5,503,955",36740000,WWW.PANJIT.COM.TW,,"Established in May 1986, PANJIT International, Inc. is a vertically integrated discrete manufacturer with a facility at 2507 West Erie Drive Suite 101, Tempe, AZ 85282. The company specializes in self-designed wafer production for applications including automotive, power supply, industrial, computing, consumer, and communication."
"ELECTROSEM, L.L.C.",,ARIZONA(USA),Single Location,"$5,454,970",36790301,WWW.ELECTROSEM.COM,(480) 967-8344,"Founded in 1982 and located at 2600 S Hardy Dr, Tempe, AZ 85282, ElectroSem, L.L.C. provides energy management solutions and offers design and manufacturing services to original equipment manufacturers, including layout, software development, and product assembly."
GLOBAL ELECTRONICS AZ LLC,,ARIZONA(USA),Single Location,"$5,282,164",36720000,,(480) 540-9858,"Situated at 16597 N 92nd Street, Scottsdale, AZ 85260, Global Electronics AZ LLC offers design engineering services, printed circuit boards, injection molded plastics, magnetics, cables, and harness assembly, serving as a complete electronics solution company."
ELTEK USA INC,,ARIZONA(USA),Single Location,"$5,218,961",36720000,WWW.NISTECELTEK.COM,(603) 421-0020,"Located at 37069 N Rhinelander Dr, San Tan Valley, AZ 85140, Eltek USA Inc is the U.S. subsidiary of Eltek Ltd., operating as an independent business unit providing sales, engineering, and customer service support in North America."
"SUN TECH CIRCUITS, INC.",,ARIZONA(USA),Headquarters,"$5,033,307",36720000,WWW.SUNTECHCIRCUITS.COM,(480) 753-0771,"Based at 2040 S. Alma School Road, Suite 1, Chandler, AZ 85225, Sun Tech Circuits, Inc. specializes in providing high-quality printed circuit boards (PCBs) with a focus on stable and excellent quality, maintaining a high acceptance rate and low defect rate."
"BESI NORTH AMERICA, INC.",,ARIZONA(USA),Single Location,"$5,024,307",36740000,WWW.BESI.COM,(603) 626-4700,"Located at 33 East Comstock Drive, Suite 4, Chandler, AZ 85225, BESI North America, Inc. develops leading-edge assembly processes and equipment for leadframe, substrate, and wafer-level packaging applications across various end-user markets."
"DELTA ENERGY SYSTEMS (ARIZONA), INC.",,ARIZONA(USA),Single Location,"$4,998,402",36790304,WWW.ROMPOWER.COM,(520) 326-8401,"Situated at 4427 E Broadway Blvd, Tucson, AZ 85711, Delta Energy Systems develops, manufactures, and markets a range of telecommunication power systems for office communication, industrial automation, and network technology applications."
THE SURFACE MOUNT COMPANY,,ARIZONA(USA),Single Location,"$4,976,977",36720000,,(480) 967-9108,"Operating since 1986 and located at 230 South Siesta Lane, Tempe, AZ 85288, The Surface Mount Company specializes in printed and etched circuits manufacturing, providing high-quality PCB assembly and surface mount technology services."
"JEFFRIES TOOLEY, L.L.C.",,ARIZONA(USA),Single Location,"$4,967,001",36790100,,(602) 269-8849,"Based at 3120 N 34th Dr, Phoenix, AZ 85017, Jeffries Tooley, L.L.C. is a professional services firm specializing in providing strategic business solutions to a diverse clientele, focusing on innovation and efficiency."
J H RHODES COMPANY INC.,,ARIZONA(USA),Headquarters,"$4,858,639",36740000,WWW.JHRHODES.COM,(602) 449-8689,"Founded in 1975 and headquartered at 11811 N. Tatum Blvd., Suite 3031, Phoenix, AZ 85028, JH Rhodes Company, Inc. is a subsidiary of Universal Photonics, Inc., specializing in the development and manufacturing of polishing pads for the surface finishing industry, serving markets such as precision optics, flat glass, memory disk drives, and semiconductor substrates."
"MICRO-LADD TECHNOLOGY, L.L.C.",,ARIZONA(USA),Headquarters,"$4,858,052",36740200,WWW.MICROLADD.COM,(480) 940-4800,"Located at 2172 E Kesler Ln, Chandler, AZ 85225, Micro-Ladd Technology, L.L.C. provides precision tooling, jigs, and fixtures for industries including semiconductor, medical, plastic molding, aerospace, and automotive."
DEVICE ENGINEERING INCORPORATED,,ARIZONA(USA),Single Location,"$4,714,331",36740000,WWW.DEIAZ.COM,(480) 303-0822,"Established over 30 years ago, Device Engineering Inc. is based at 6031 South Maple Avenue, Tempe, AZ 85283. The company is an employee-owned ASIC design firm and fabless semiconductor manufacturer, supplying a broad portfolio of standard products targeted primarily toward avionics, including transceivers, line receivers, and line drivers for ARINC 429 and other communication protocols."
"PAN JIT AMERICAS, INC.",,ARIZONA(USA),Single Location,"$4,611,843",36740000,WWW.PANJIT.COM.TW,(480) 379-2800,"Located at 2507 W Erie Dr, Ste 101, Tempe, AZ 85282, Pan Jit Americas is a leading manufacturer of power management ICs, MOSFETs, diodes, rectifiers, transistors, and other electronic components, offering a wide range of products for various applications, including automotive, LED lighting, power supply, and server power. "
"AIRA, INC.",,ARIZONA(USA),Single Location,"$4,563,446",36780000,WWW.FREEPOWER.IO,(661) 505-5091,"Founded in 2017 and headquartered at 2048 N 44th St, Phoenix, AZ 85008, Aira, Inc. specializes in wireless charging technology, developing innovative solutions for seamless power delivery across multiple devices."
"MICROSEMI SOLUTIONS (U.S.), INC.",,ARIZONA(USA),Headquarters,"$4,552,394",36740207,WWW.MICROSEMI.COM,(408) 239-8000,"Microsemi Corporation, based at 3601 E University Dr, Phoenix, AZ 85034, is a leading provider of semiconductor solutions for aerospace, defense, and industrial markets. The company offers a comprehensive portfolio of semiconductor and system solutions, ensuring reliable performance and quality for its customers."
